DATE,OPEN,HIGH,LOW,CLOSE,VOL
1-Oct-12,112.14000000000,113.27,11000000000.76,,-80055000000
2-Oct-12,111.4,111.7,110.55,110.55,29332
3-Oct-12,110.55,110.59,106.95,107.34,56307
4-Oct-12,107.44,111.79,107.24,111.36,61664
5-Oct-12,111.27,112.09,109.64,111.13,51704
7-Oct-12,111.11,111.13,111.02,111.02,57
8-Oct-12,110.82,111.44,109.74,111.22,40638
9-Oct-12,111.48,113.64,111.05,113.35,61077
10-Oct-12,113.14,114.41,112.69,113.28,68836
11-Oct-12,113.41,114.95,113.26,114.77,68708
12-Oct-12,114.85,114.86,112.93,113.38,83863
14-Oct-12,113.55,113.65,113.12,113.12,117
15-Oct-12,113.1,114.49,112.46,114.48,116194
16-Oct-12,114.31,114.87,113.49,113.72,101853
17-Oct-12,113.97,114.31,112.8,113.21,96473
18-Oct-12,113.12,113.63,111.57,112.44,118267
19-Oct-12,112.33,113.26,109.9,110.32,144533
21-Oct-12,109.9,110,109.71,109.77,491
22-Oct-12,109.73,110.97,109.12,109.79,134279
23-Oct-12,109.52,109.8,107.31,108.3,144954
24-Oct-12,108.31,109.34,106.8,107.81,129713
25-Oct-12,107.8,109.28,107.46,108.5,110423
26-Oct-12,108.55,109.7,107.4,109.7,112143
28-Oct-12,109.55,109.8,108.99,109.19,796
29-Oct-12,109.17,110.26,108.51,109.33,80825
30-Oct-12,109.25,110.1,108.65,109.05,69046
31-Oct-12,109.1,109.8,108.3,108.4,89904
1-Nov-12,107.42,107.87,106.74,107.5,33148
2-Nov-12,107.25,107.96,104.79,104.88,37721
4-Nov-12,104.83,104.84,104.67,104.7,60
5-Nov-12,104.72,107.3,104.09,106.97,34895
6-Nov-12,106.85,110.39,106.26,110.13,48232
7-Nov-12,109.77,110.69,105.74,106.05,50840
8-Nov-12,106,107.31,105.32,106.18,45946
9-Nov-12,106.33,108.81,105.45,108.79,52955
11-Nov-12,108.6,108.65,108.3,108.3,111
12-Nov-12,108.29,109.36,107.53,107.82,55669
13-Nov-12,107.82,108,106.56,107.3,71730
14-Nov-12,107.19,109.3,106.87,108.75,132705
15-Nov-12,108.62,109.58,107.3,107.69,155235
16-Nov-12,107.69,109.25,107.66,109.02,124203
18-Nov-12,109.25,109.51,109.19,109.5,653
19-Nov-12,109.5,112.2,109.3,111.59,134353
20-Nov-12,111.8,111.85,109.01,110.46,139254
21-Nov-12,110.5,111.46,109.55,111.03,105797
22-Nov-12,110.97,111.17,110.11,110.35,27573
23-Nov-12,110.47,111.54,110.1,111.39,63095
25-Nov-12,111.21,111.48,111.16,111.35,107
26-Nov-12,111.35,111.42,110.27,110.75,78941
27-Nov-12,111,111.36,109.31,110,102522
28-Nov-12,109.95,110.17,108.44,109.69,111464
29-Nov-12,109.7,111.3,109.45,110.4,118598
30-Nov-12,110.35,111.34,110.25,111.17,84620
2-Dec-12,110.1,110.4,110.04,110.35,47
3-Dec-12,110.3,111.35,109.69,109.9,24991
4-Dec-12,110.04,110.04,108.36,108.87,26665
5-Dec-12,108.92,109.65,107.72,107.97,27414
6-Dec-12,107.75,108.3,105.86,106.25,43724
7-Dec-12,106.15,107.04,105.8,106.3,41750
9-Dec-12,106.45,106.45,106.31,106.42,15
10-Dec-12,106.4,107.52,105.93,106.22,34262
11-Dec-12,106.18,107.17,105.98,106.8,37768
12-Dec-12,106.87,108.92,106.83,108.01,80961
13-Dec-12,107.95,108.13,106.38,106.53,81983
14-Dec-12,106.62,108.4,106.55,108.4,92081
16-Dec-12,108.43,108.44,108.2,108.27,72
17-Dec-12,108.27,108.5,107.58,107.89,67897
18-Dec-12,107.98,108.98,107.93,108.94,71884
19-Dec-12,108.9,110.48,108.74,110.05,93814
