"Date","season","holiday","hr","workingday","weather","atemp","humidity","windspeed","Count","Day_Time"
"2011-01-01","winter","Not holiday",NA,"Not workday","Clear","14.395",81,"0",16,"Sleep time"
"2011-01-01","winter","Not holiday","1","Not workday","Clear","13.635",80,"0",40,"Sleep time"
"2011-01-01","winter","Not holiday","2","Not workday","Clear","13.635",80,"0",32,"Sleep time"
"2011-01-01","winter","Not holiday","3","Not workday","Clear","14.395",75,"0",13,"Sleep time"
"2011-01-01","winter","Not holiday","4","Not workday","Clear","14.395",75,"0",1,"Sleep time"
"2011-01-01","winter","Not holiday","5","Not workday","Mist","12.88",75,"6.0032",1,"Sleep time"
"2011-01-01","winter","Not holiday","6","Not workday","Clear","13.635",80,"0",2,"Sleep time"
"2011-01-01","winter","Not holiday","7","Not workday","Clear","12.88",86,"0",3,"Work time"
"2011-01-01","winter","Not holiday","8","Not workday","Clear","14.395",75,"0",8,"Work time"
"2011-01-01","winter","Not holiday","9","Not workday","Clear","17.425",76,"0",14,"Work time"
"2011-01-01","winter","Not holiday","10","Not workday","Clear","19.695",76,"16.9979",36,"Work time"
"2011-01-01","winter","Not holiday","11","Not workday","Clear","16.665",81,"19.0012",56,"Work time"
"2011-01-01","winter","Not holiday","12","Not workday","Clear","21.21",77,"19.0012",84,"Work time"
"2011-01-01","winter","Not holiday","13","Not workday","Mist","22.725",72,"19.9995",94,"Work time"
"2011-01-01","winter","Not holiday","14","Not workday","Mist","22.725",72,"19.0012",106,"Work time"
"2011-01-01","winter","Not holiday","15","Not workday","Mist","21.97",77,"19.9995",110,"Work time"
"2011-01-01","winter","Not holiday","16","Not workday","Mist","21.21",82,"19.9995",93,"Work time"
"2011-01-01","winter","Not holiday","17","Not workday","Mist","21.97",82,"19.0012",67,"After work time"
"2011-01-01","winter","Not holiday","18","Not workday","Light Snow","21.21",88,"16.9979",35,"After work time"
"2011-01-01","winter","Not holiday","19","Not workday","Light Snow","21.21",88,"16.9979",37,"After work time"
"2011-01-01","winter","Not holiday","20","Not workday","Mist","20.455",87,"16.9979",36,"After work time"
"2011-01-01","winter","Not holiday","21","Not workday","Mist","20.455",87,"12.998",34,"After work time"
"2011-01-01","winter","Not holiday","22","Not workday","Mist","20.455",94,"15.0013",28,"After work time"
"2011-01-01","winter","Not holiday","23","Not workday","Mist","22.725",88,"19.9995",39,"After work time"
"2011-01-02","winter","Not holiday","0","Not workday","Mist","22.725",88,"19.9995",17,"Sleep time"
"2011-01-02","winter","Not holiday","1","Not workday","Mist","21.97",94,"16.9979",17,"Sleep time"
"2011-01-02","winter","Not holiday","2","Not workday","Mist","21.21",100,"19.0012",9,"Sleep time"
"2011-01-02","winter","Not holiday","3","Not workday","Mist","22.725",94,"12.998",6,"Sleep time"
"2011-01-02","winter","Not holiday","4","Not workday","Mist","22.725",94,"12.998",3,"Sleep time"
"2011-01-02","winter","Not holiday","6","Not workday","Light Snow","21.21",77,"19.9995",2,"Sleep time"
"2011-01-02","winter","Not holiday","7","Not workday","Mist","20.455",76,"12.998",1,"Work time"
"2011-01-02","winter","Not holiday","8","Not workday","Light Snow","20.455",71,"15.0013",8,"Work time"
